Title,Actors,Rating,Year,Runtime
Aloko Udapadi,,9.6,2017,113
Dag II,"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris",9.4,2016,135
Aynabaji,"Ozan Agaç, Bedii Akin, Murat Arkin, Eylül Arular",9.4,2016,147
Wheels,"Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua",9.4,2014,115
The Dark Knight,"Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle",9.0,2008,152
Ayla: The Daughter of War,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",8.9,2017,125
Aruvi,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",8.9,2016,130
Inception,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold",8.8,2010,148
Vikram Vedha,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",8.8,2017,147
Drishyam,"Vijay Sethupathi, Madhavan, Varalaxmi Sarathkumar, Shraddha Srinath",8.8,2013,160
The Phantom of the Opera at the Royal Albert Hall,"Mohanlal, Meena, Ansiba, Esther",8.8,2011,137
Interstellar,"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson",8.6,2014,169
RangiTaranga,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.6,2015,149
Whiplash,"Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar",8.5,2014,106
The Intouchables,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",8.5,2011,112
Dangal,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",8.5,2016,161
Arjun Reddy,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",8.5,2017,182
Dhuruvangal Pathinaaru,"Vijay Deverakonda, Shalini Pandey, Amit Sharma, Rahul Ramakrishna",8.5,2016,105
Cyborgs: Heroes Never Die,"Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna",8.5,2017,112
Thani Oruvan,"Vyacheslav Dovzhenko, Roman Yasinovsky, Andriy Isayenko, Viktor Zhdanov",8.5,2015,160
Ulidavaru Kandanthe,"Jayam Ravi, Arvind Swamy, Nayanthara, Nassar",8.5,2014,154
Coco,"Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar",8.4,2017,105
The Dark Knight Rises,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",8.4,2012,164
Django Unchained,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",8.4,2012,165
Kimi no na wa.,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",8.4,2016,106
WALL·E,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki",8.4,2008,98
3 Idiots,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",8.4,2009,170
Sairat,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",8.4,2016,174
Theeran Adhigaaram Ondru,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde",8.4,2017,157
Jigarthanda,"Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat",8.4,2014,171
Soodhu Kavvum,"Siddharth, Bobby Simha, Lakshmi Menon, Nassar",8.4,2013,135
Lucia,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar",8.4,2013,135
Vishwaroopam,"Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker",8.4,2013,148
Inglourious Basterds,"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose",8.3,2009,153
Up,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",8.3,2009,96
Jagten,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",8.3,2012,115
Toy Story 3,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",8.3,2010,103
Jodaeiye Nader az Simin,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",8.3,2011,123
Drishyam,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",8.3,2015,163
Bilal: A New Breed of Hero,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",8.3,2015,105
Baahubali 2: The Conclusion,"Adewale Akinnuoye-Agbaje, Ian McShane, China Anne McClain, Thomas Ian Nicholas",8.3,2017,167
Shahid,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",8.3,2012,129
It's Such a Beautiful Day,"Rajkummar Rao, Mohammed Zeeshan Ayyub, Baljinder Kaur, Tigmanshu Dhulia",8.3,2012,62
Queen,,8.3,2013,146
Premam,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",8.3,2015,156
"Montevideo, vidimo se!","Nivin Pauly, Sai Pallavi, Madonna Sebastian, Anupama Parameshwaran",8.3,2014,141
Bangalore Days,"Milos Bikovic, Petar Strugar, Armand Assante, Viktor Savic",8.3,2014,171
Abad va yek rooz,"Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil",8.3,2016,95
1 - Nenokkadine,"Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Shabnam Moghadami",8.3,2014,170
"Montevideo, Bog te video!","Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat",8.3,2010,140
