"Perioden";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/Totale bevolking (aantal)";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/Jonger dan 20 jaar (aantal)";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/20 tot 40 jaar (aantal)";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/40 tot 65 jaar (aantal)";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/65 tot 80 jaar (aantal)";"Bevolking naar leeftijd (op 1 januari)/Bevolking naar leeftijd, aantallen/80 jaar of ouder (aantal)"
"1950";10026773;3742499;2951369;2562311;670995;99599
"1951";10200280;3805617;2985744;2614428;690449;104042
"1952";10328343;3853988;2999353;2656483;710729;107790
"1953";10435631;3894738;2996594;2700881;729809;113609
"1954";10550737;3945330;2994204;2744425;747436;119342
"1955";10680023;4000883;2997145;2792024;765017;124954
"1956";10821661;4063634;3013487;2832042;782200;130298
"1957";10957040;4124465;3027385;2869124;800553;135513
"1958";11095726;4188105;3041247;2906002;818343;142029
"1959";11278024;4270455;3076070;2940435;843228;147836
"1960";11417254;4331042;3098779;2968611;864423;154399
"1961";11556008;4386744;3100271;3020409;887637;160947
"1962";11721416;4461142;3114828;3065393;912524;167529
"1963";11889962;4532162;3141795;3108573;934630;172802
"1964";12041970;4583772;3174758;3150735;955313;177392
"1965";12212269;4631281;3227357;3191097;976752;185782
"1966";12377194;4685535;3274528;3227483;996411;193237
"1967";12535307;4659556;3397478;3259448;1018765;200060
"1968";12661095;4640156;3485200;3283600;1043617;208522
"1969";12798346;4637626;3566931;3312816;1065626;215347
"1970";12957621;4657606;3650362;3338678;1089232;221743
"1971";13119430;4678829;3730445;3370407;1111504;228245
"1972";13269563;4694750;3809177;3397711;1132778;235147
"1973";13387623;4691201;3876435;3424718;1154901;240368
"1974";13491020;4670957;3948968;3444804;1177000;249291
"1975";13599092;4646232;4026470;3466969;1201043;258378
"1976";13733578;4624109;4121445;3497868;1221862;268294
"1977";13814495;4579205;4197667;3523309;1236344;277970
"1978";13897874;4528294;4276841;3543413;1259198;290128
"1979";13985526;4479535;4353469;3571626;1280786;300110
"1980";14091014;4431785;4441579;3602326;1303447;311877
"1981";14208586;4395798;4525169;3645612;1318916;323091
"1982";14285829;4330786;4607340;3679442;1332480;335781
"1983";14339551;4252760;4676776;3721901;1343109;345005
"1984";14394589;4167550;4739037;3779544;1350817;357641
"1985";14453833;4084506;4795956;3843625;1359038;370708
"1986";14529430;4018630;4863855;3877757;1386796;382392
"1987";14615125;3968023;4854891;3988197;1411662;392352
"1988";14714948;3922311;4862329;4090241;1434264;405803
"1989";14805240;3874701;4879741;4173791;1458653;418354
"1990";14892574;3822205;4912128;4252617;1477909;427715
"1991";15010445;3786164;4960023;4330616;1496394;437248
"1992";15129150;3762239;4998563;4408652;1515408;444288
"1993";15239182;3746470;5014662;4492523;1529136;456391
"1994";15341553;3751154;5011430;4570975;1543699;464295
"1995";15424122;3760155;4981153;4649238;1557819;475757
"1996";15493889;3771609;4938040;4723368;1579397;481475
"1997";15567107;3787364;4893195;4802709;1596420;487419
"1998";15654192;3809170;4848625;4886678;1616527;493192
"1999";15760225;3839842;4809644;4979805;1634782;496152
"2000";15863950;3873008;4761504;5076996;1652103;500339
"2001";15987075;3908053;4727104;5177417;1657864;516637
"2002";16105285;3940636;4685727;5280208;1667107;531607
"2003";16192572;3968999;4624170;5378947;1676486;543970
"2004";16258032;3987557;4548566;5470755;1692856;558298
"2005";16305526;3987957;4467783;5561116;1715097;573573
"2006";16334210;3975626;4389840;5638285;1743443;587016
"2007";16357992;3957103;4319136;5713401;1767510;600842
"2008";16405399;3940450;4267063;5783060;1799337;615489
"2009";16485787;3933585;4233861;5846526;1840607;631208
"2010";16574989;3928334;4192772;5915555;1890334;647994
"2011";16655799;3913819;4162599;5984435;1927399;667547
"2012";16730348;3894754;4141893;5977333;2030353;686015
"2013";16779575;3870773;4120358;5964099;2121525;702820
"2014";16829289;3846040;4117652;5946573;2201935;717089
"2015";16900726;3828059;4134447;5930535;2272709;734976
"2016";16979120;3818499;4163702;5911611;2336560;748748
"2017";17081507;3817173;4206639;5898035;2395385;764275
"2018";17181084;3810656;4253083;5878229;2460202;778914
