"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,40123660,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,40215610,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,40309780,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,40350450,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,40354820,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,40346790,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,40320560,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,40287730,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,40229290,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,40143940,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,40108020,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,39671180,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,39305540,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,436300,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,441525,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,446175,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,451630,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,458095,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,465158,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,472636,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,479993,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,488649,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,497783,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,506953,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,518346,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,530946,"B","Break"
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,5012016,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,5030153,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,5054586,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,5077030,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,5099250,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,5127573,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,5162614,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,5202858,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,5246480,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,5290436,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,5356969,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,5426749,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,5469608,"B","Break"
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,28658970,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,28845730,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,29034960,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,29221990,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,29416940,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,29616890,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,29815990,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,30001160,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,30166090,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,30322690,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,30475790,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,30626400,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,30769540,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,8047427,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,8105269,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,8155210,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,8194610,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,8225833,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,8248175,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,8263141,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,8281402,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,8311359,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,8350452,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,8391915,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,8429897,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,8459856,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,30196000,,
