"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","YP9909L1_ST","Population (hist5)  40-44","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,3080709,,
"DEU","Germany","YP9903L1_ST","Population (hist5)  10-14","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,4728915,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,40123660,,
"DEU","Germany","YP9912L1_ST","Population (hist5)  55-59","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2578506,,
"DEU","Germany","YP9906L1_ST","Population (hist5)  25-29","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,5076408,,
"DEU","Germany","YP9915L1_ST","Population (hist5)  70-74","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2059571,,
"DEU","Germany","YP9916L1_ST","Population (hist5)  75-79","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,944914.5,,
"DEU","Germany","YP9914L1_ST","Population (hist5)  65-69","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,4084930,,
"DEU","Germany","YP9906L1_ST","Population (hist5)  25-29","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2477844,,
"DEU","Germany","YP9907L1_ST","Population (hist5)  30-34","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,3518432,,
"DEU","Germany","YP9910L1_ST","Population (hist5)  45-49","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2863624,,
"DEU","Germany","YP9913L1_ST","Population (hist5)  60-64","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2753345,,
"DEU","Germany","YP9917L1_ST","Population (hist5)  80-84","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,1386833,,
"DEU","Germany","YP9903L1_ST","Population (hist5)  10-14","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2301626,,
"DEU","Germany","YP9920L1_ST","Population (hist5)  85+","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,1623915,,
"DEU","Germany","YP9911L1_ST","Population (hist5)  50-54","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2416321,,
"DEU","Germany","YP9915L1_ST","Population (hist5)  70-74","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,3578107,,
"DEU","Germany","YP9914L1_ST","Population (hist5)  65-69","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,1922690,,
"DEU","Germany","YP9904L1_ST","Population (hist5)  15-19","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2251635,,
"DEU","Germany","YP9910L1_ST","Population (hist5)  45-49","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2818927,,
"DEU","Germany","YP9907L1_ST","Population (hist5)  30-34","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,3305318,,
"DEU","Germany","YP9901L1_ST","Population (hist5)  00-04","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,1920420,,
"DEU","Germany","YP9902L1_ST","Population (hist5)  05-09","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2135550,,
"DEU","Germany","YP9912L1_ST","Population (hist5)  55-59","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,5150374,,
"DEU","Germany","YP9920L1_ST","Population (hist5)  85+","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,1234052,,
"DEU","Germany","YP9905L1_ST","Population (hist5)  20-24","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2337039,,
"DEU","Germany","YP9909L1_ST","Population (hist5)  40-44","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,6306442,,
"DEU","Germany","YP9908L1_ST","Population (hist5)  35-39","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,3698449,,
"DEU","Germany","YP9910L1_ST","Population (hist5)  45-49","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,5682551,,
"DEU","Germany","YP9902L1_ST","Population (hist5)  05-09","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2026924,,
"DEU","Germany","YP9905L1_ST","Population (hist5)  20-24","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2248286,,
"DEU","Germany","YP9916L1_ST","Population (hist5)  75-79","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,2848849,,
"DEU","Germany","YP9906L1_ST","Population (hist5)  25-29","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2598564,,
"DEU","Germany","YP9909L1_ST","Population (hist5)  40-44","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,3225734,,
"DEU","Germany","YP9913L1_ST","Population (hist5)  60-64","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,5624031,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,42087850,,
"DEU","Germany","YP9913L1_ST","Population (hist5)  60-64","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2870686,,
"DEU","Germany","YP9907L1_ST","Population (hist5)  30-34","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,6823750,,
"DEU","Germany","YP9916L1_ST","Population (hist5)  75-79","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,1903934,,
"DEU","Germany","YP9903L1_ST","Population (hist5)  10-14","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2427289,,
"DEU","Germany","YP9904L1_ST","Population (hist5)  15-19","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,4622769,,
"DEU","Germany","YP9901L1_ST","Population (hist5)  00-04","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,3945739,,
"DEU","Germany","YP9917L1_ST","Population (hist5)  80-84","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,404986.5,,
"DEU","Germany","YP9904L1_ST","Population (hist5)  15-19","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2371134,,
"DEU","Germany","YP9911L1_ST","Population (hist5)  50-54","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,4796696,,
"DEU","Germany","YP9917L1_ST","Population (hist5)  80-84","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,981846,,
"DEU","Germany","YP9905L1_ST","Population (hist5)  20-24","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,4585325,,
"DEU","Germany","YP9908L1_ST","Population (hist5)  35-39","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,7183404,,
"DEU","Germany","YP9901L1_ST","Population (hist5)  00-04","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,2025319,,
"DEU","Germany","YP9914L1_ST","Population (hist5)  65-69","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2162240,,
"DEU","Germany","YP9915L1_ST","Population (hist5)  70-74","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,1518537,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,82211500,,
